user_id,group,ad_impressions,converted,revenue
T1,Test,5,0,0.0
T2,Test,5,0,0.0
T3,Test,4,0,0.0
T4,Test,4,0,0.0
T5,Test,4,0,0.0
T6,Test,6,0,0.0
T7,Test,3,0,0.0
T8,Test,8,0,0.0
T9,Test,2,0,0.0
T10,Test,5,0,0.0
T11,Test,5,0,0.0
T12,Test,5,0,0.0
T13,Test,3,0,0.0
T14,Test,8,0,0.0
T15,Test,2,0,0.0
T16,Test,2,0,0.0
T17,Test,5,0,0.0
T18,Test,8,0,0.0
T19,Test,4,0,0.0
T20,Test,1,0,0.0
T21,Test,3,0,0.0
T22,Test,7,0,0.0
T23,Test,2,0,0.0
T24,Test,3,0,0.0
T25,Test,7,0,0.0
T26,Test,5,0,0.0
T27,Test,2,0,0.0
T28,Test,5,0,0.0
T29,Test,5,0,0.0
T30,Test,3,0,0.0
T31,Test,9,0,0.0
T32,Test,2,0,0.0
T33,Test,1,0,0.0
T34,Test,6,0,0.0
T35,Test,6,0,0.0
T36,Test,8,0,0.0
T37,Test,2,0,0.0
T38,Test,4,0,0.0
T39,Test,8,0,0.0
T40,Test,6,0,0.0
T41,Test,11,0,0.0
T42,Test,6,0,0.0
T43,Test,3,0,0.0
T44,Test,1,0,0.0
T45,Test,4,0,0.0
T46,Test,1,0,0.0
T47,Test,8,0,0.0
T48,Test,4,0,0.0
T49,Test,5,0,0.0
T50,Test,7,0,0.0
T51,Test,1,0,0.0
T52,Test,5,0,0.0
T53,Test,4,0,0.0
T54,Test,4,0,0.0
T55,Test,4,0,0.0
T56,Test,7,0,0.0
T57,Test,1,0,0.0
T58,Test,3,0,0.0
T59,Test,7,0,0.0
T60,Test,10,0,0.0
T61,Test,6,0,0.0
T62,Test,8,1,28.62
T63,Test,2,0,0.0
T64,Test,4,0,0.0
T65,Test,2,0,0.0
T66,Test,3,0,0.0
T67,Test,8,0,0.0
T68,Test,5,0,0.0
T69,Test,1,0,0.0
T70,Test,7,0,0.0
T71,Test,2,0,0.0
T72,Test,7,0,0.0
T73,Test,4,0,0.0
T74,Test,5,0,0.0
T75,Test,6,0,0.0
T76,Test,10,0,0.0
T77,Test,9,1,26.35
T78,Test,6,0,0.0
T79,Test,6,0,0.0
T80,Test,5,0,0.0
T81,Test,6,0,0.0
T82,Test,3,1,30.23
T83,Test,7,0,0.0
T84,Test,6,0,0.0
T85,Test,4,0,0.0
T86,Test,2,0,0.0
T87,Test,5,0,0.0
T88,Test,2,0,0.0
T89,Test,2,0,0.0
T90,Test,3,0,0.0
T91,Test,4,0,0.0
T92,Test,5,0,0.0
T93,Test,3,0,0.0
T94,Test,6,0,0.0
T95,Test,2,0,0.0
T96,Test,4,0,0.0
T97,Test,6,0,0.0
T98,Test,7,0,0.0
T99,Test,2,0,0.0
T100,Test,3,0,0.0
T101,Test,7,0,0.0
T102,Test,7,0,0.0
T103,Test,4,0,0.0
T104,Test,3,0,0.0
T105,Test,3,0,0.0
T106,Test,6,0,0.0
T107,Test,6,0,0.0
T108,Test,5,0,0.0
T109,Test,8,0,0.0
T110,Test,6,0,0.0
T111,Test,5,0,0.0
T112,Test,6,0,0.0
T113,Test,4,0,0.0
T114,Test,3,0,0.0
T115,Test,6,0,0.0
T116,Test,5,0,0.0
T117,Test,4,0,0.0
T118,Test,8,0,0.0
T119,Test,6,0,0.0
T120,Test,4,0,0.0
T121,Test,1,0,0.0
T122,Test,7,0,0.0
T123,Test,3,0,0.0
T124,Test,3,0,0.0
T125,Test,4,0,0.0
T126,Test,4,0,0.0
T127,Test,2,0,0.0
T128,Test,5,0,0.0
T129,Test,5,0,0.0
T130,Test,2,0,0.0
T131,Test,3,0,0.0
T132,Test,2,0,0.0
T133,Test,3,0,0.0
T134,Test,8,0,0.0
T135,Test,1,0,0.0
T136,Test,6,0,0.0
T137,Test,5,0,0.0
T138,Test,7,0,0.0
T139,Test,6,0,0.0
T140,Test,1,0,0.0
T141,Test,4,0,0.0
T142,Test,1,0,0.0
T143,Test,8,0,0.0
T144,Test,2,0,0.0
T145,Test,4,0,0.0
T146,Test,7,0,0.0
T147,Test,4,0,0.0
T148,Test,2,0,0.0
T149,Test,7,0,0.0
T150,Test,4,0,0.0
T151,Test,9,0,0.0
T152,Test,4,0,0.0
T153,Test,3,0,0.0
T154,Test,7,0,0.0
T155,Test,2,0,0.0
T156,Test,3,0,0.0
T157,Test,6,0,0.0
T158,Test,6,0,0.0
T159,Test,9,0,0.0
T160,Test,4,0,0.0
T161,Test,7,1,33.84
T162,Test,8,0,0.0
T163,Test,3,0,0.0
T164,Test,7,0,0.0
T165,Test,5,0,0.0
T166,Test,5,0,0.0
T167,Test,7,0,0.0
T168,Test,3,0,0.0
T169,Test,6,0,0.0
T170,Test,12,0,0.0
T171,Test,4,0,0.0
T172,Test,5,0,0.0
T173,Test,7,0,0.0
T174,Test,8,0,0.0
T175,Test,4,0,0.0
T176,Test,6,0,0.0
T177,Test,7,1,26.34
T178,Test,4,0,0.0
T179,Test,6,0,0.0
T180,Test,5,0,0.0
T181,Test,10,0,0.0
T182,Test,5,0,0.0
T183,Test,4,0,0.0
T184,Test,4,0,0.0
T185,Test,7,0,0.0
T186,Test,3,0,0.0
T187,Test,3,0,0.0
T188,Test,3,0,0.0
T189,Test,5,0,0.0
T190,Test,3,0,0.0
T191,Test,6,0,0.0
T192,Test,6,0,0.0
T193,Test,1,0,0.0
T194,Test,5,0,0.0
T195,Test,8,0,0.0
T196,Test,1,0,0.0
T197,Test,8,0,0.0
T198,Test,8,0,0.0
T199,Test,5,0,0.0
T200,Test,4,0,0.0
T201,Test,6,0,0.0
T202,Test,5,0,0.0
T203,Test,3,0,0.0
T204,Test,6,0,0.0
T205,Test,5,0,0.0
T206,Test,3,0,0.0
T207,Test,3,0,0.0
T208,Test,3,0,0.0
T209,Test,2,0,0.0
T210,Test,6,0,0.0
T211,Test,5,1,16.82
T212,Test,10,0,0.0
T213,Test,7,0,0.0
T214,Test,7,0,0.0
T215,Test,8,0,0.0
T216,Test,0,0,0.0
T217,Test,5,0,0.0
T218,Test,3,0,0.0
T219,Test,5,0,0.0
T220,Test,9,0,0.0
T221,Test,1,0,0.0
T222,Test,4,0,0.0
T223,Test,5,0,0.0
T224,Test,4,0,0.0
T225,Test,4,0,0.0
T226,Test,5,0,0.0
T227,Test,7,0,0.0
T228,Test,6,0,0.0
T229,Test,4,0,0.0
T230,Test,3,0,0.0
T231,Test,7,0,0.0
T232,Test,6,0,0.0
T233,Test,3,0,0.0
T234,Test,3,0,0.0
T235,Test,3,0,0.0
T236,Test,9,0,0.0
T237,Test,3,0,0.0
T238,Test,3,0,0.0
T239,Test,6,0,0.0
T240,Test,7,0,0.0
T241,Test,3,0,0.0
T242,Test,4,0,0.0
T243,Test,9,0,0.0
T244,Test,6,0,0.0
T245,Test,6,0,0.0
T246,Test,7,0,0.0
T247,Test,1,0,0.0
T248,Test,7,0,0.0
T249,Test,4,0,0.0
T250,Test,3,0,0.0
T251,Test,3,0,0.0
T252,Test,2,0,0.0
T253,Test,7,0,0.0
T254,Test,6,0,0.0
T255,Test,1,1,24.12
T256,Test,3,0,0.0
T257,Test,8,0,0.0
T258,Test,4,0,0.0
T259,Test,8,0,0.0
T260,Test,4,0,0.0
T261,Test,4,0,0.0
T262,Test,3,0,0.0
T263,Test,1,0,0.0
T264,Test,7,1,14.04
T265,Test,4,0,0.0
T266,Test,6,0,0.0
T267,Test,6,0,0.0
T268,Test,6,0,0.0
T269,Test,6,0,0.0
T270,Test,8,0,0.0
T271,Test,9,0,0.0
T272,Test,6,0,0.0
T273,Test,8,0,0.0
T274,Test,1,0,0.0
T275,Test,4,0,0.0
T276,Test,6,0,0.0
T277,Test,2,0,0.0
T278,Test,3,0,0.0
T279,Test,9,0,0.0
T280,Test,5,0,0.0
T281,Test,8,0,0.0
T282,Test,5,0,0.0
T283,Test,3,0,0.0
T284,Test,8,0,0.0
T285,Test,6,0,0.0
T286,Test,6,1,27.7
T287,Test,3,0,0.0
T288,Test,6,0,0.0
T289,Test,3,0,0.0
T290,Test,4,0,0.0
T291,Test,4,0,0.0
T292,Test,6,0,0.0
T293,Test,5,0,0.0
T294,Test,7,0,0.0
T295,Test,2,0,0.0
T296,Test,6,0,0.0
T297,Test,4,0,0.0
T298,Test,6,0,0.0
T299,Test,4,0,0.0
T300,Test,4,0,0.0
T301,Test,6,0,0.0
T302,Test,6,0,0.0
T303,Test,7,0,0.0
T304,Test,6,0,0.0
T305,Test,5,0,0.0
T306,Test,4,0,0.0
T307,Test,9,0,0.0
T308,Test,2,0,0.0
T309,Test,6,0,0.0
T310,Test,7,0,0.0
T311,Test,4,0,0.0
T312,Test,9,0,0.0
T313,Test,3,0,0.0
T314,Test,6,0,0.0
T315,Test,2,0,0.0
T316,Test,8,0,0.0
T317,Test,6,0,0.0
T318,Test,8,0,0.0
T319,Test,5,0,0.0
T320,Test,3,0,0.0
T321,Test,5,0,0.0
T322,Test,5,0,0.0
T323,Test,6,0,0.0
T324,Test,2,0,0.0
T325,Test,8,0,0.0
T326,Test,8,0,0.0
T327,Test,7,0,0.0
T328,Test,3,0,0.0
T329,Test,5,0,0.0
T330,Test,1,0,0.0
T331,Test,2,1,18.16
T332,Test,6,0,0.0
T333,Test,5,0,0.0
T334,Test,3,0,0.0
T335,Test,7,0,0.0
T336,Test,2,0,0.0
T337,Test,4,0,0.0
T338,Test,3,0,0.0
T339,Test,5,0,0.0
T340,Test,6,0,0.0
T341,Test,1,0,0.0
T342,Test,3,0,0.0
T343,Test,8,0,0.0
T344,Test,9,0,0.0
T345,Test,5,0,0.0
T346,Test,2,0,0.0
T347,Test,3,0,0.0
T348,Test,7,0,0.0
T349,Test,3,0,0.0
T350,Test,2,0,0.0
T351,Test,6,1,25.71
T352,Test,7,0,0.0
T353,Test,6,0,0.0
T354,Test,6,0,0.0
T355,Test,8,0,0.0
T356,Test,3,0,0.0
T357,Test,6,0,0.0
T358,Test,7,0,0.0
T359,Test,4,0,0.0
T360,Test,10,0,0.0
T361,Test,6,0,0.0
T362,Test,3,0,0.0
T363,Test,5,0,0.0
T364,Test,3,0,0.0
T365,Test,1,0,0.0
T366,Test,9,0,0.0
T367,Test,3,0,0.0
T368,Test,3,0,0.0
T369,Test,3,0,0.0
T370,Test,2,0,0.0
T371,Test,5,0,0.0
T372,Test,6,0,0.0
T373,Test,6,0,0.0
T374,Test,6,0,0.0
T375,Test,3,0,0.0
T376,Test,3,0,0.0
T377,Test,3,0,0.0
T378,Test,0,0,0.0
T379,Test,4,0,0.0
T380,Test,7,0,0.0
T381,Test,4,0,0.0
T382,Test,8,0,0.0
T383,Test,4,0,0.0
T384,Test,3,0,0.0
T385,Test,7,0,0.0
T386,Test,5,0,0.0
T387,Test,5,0,0.0
T388,Test,4,0,0.0
T389,Test,1,0,0.0
T390,Test,5,0,0.0
T391,Test,8,0,0.0
T392,Test,4,1,34.99
T393,Test,4,0,0.0
T394,Test,7,0,0.0
T395,Test,2,0,0.0
